entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,direction,tick_move,pnl,exit_reason
78,79,2006-04-19 00:00:00+00:00,2006-04-25 00:00:00+00:00,97.14,97.135,Short,0.9999999999990905,12.499999999988631,signal_reversal
136,137,2006-07-14 00:00:00+00:00,2006-07-17 00:00:00+00:00,96.905,96.905,Short,0.0,0.0,signal_reversal
156,157,2006-08-11 00:00:00+00:00,2006-08-14 00:00:00+00:00,96.775,96.775,Short,0.0,0.0,signal_reversal
175,176,2006-09-06 00:00:00+00:00,2006-09-08 00:00:00+00:00,96.655,96.65,Short,0.9999999999990905,12.499999999988631,signal_reversal
199,200,2006-10-11 00:00:00+00:00,2006-10-12 00:00:00+00:00,96.5,96.5,Short,0.0,0.0,signal_reversal
219,220,2006-11-08 00:00:00+00:00,2006-11-09 00:00:00+00:00,96.41,96.405,Short,0.9999999999990905,12.499999999988631,signal_reversal
222,223,2006-11-10 00:00:00+00:00,2006-11-14 00:00:00+00:00,96.415,96.28,Short,27.000000000001023,337.5000000000128,target
241,242,2006-12-08 00:00:00+00:00,2006-12-11 00:00:00+00:00,96.31,96.315,Short,-0.9999999999990905,-12.499999999988631,signal_reversal
243,244,2006-12-12 00:00:00+00:00,2006-12-13 00:00:00+00:00,96.315,96.31,Short,0.9999999999990905,12.499999999988631,signal_reversal
263,264,2007-01-11 00:00:00+00:00,2007-01-15 00:00:00+00:00,96.26,96.25,Short,2.000000000001023,25.00000000001279,signal_reversal
309,310,2007-03-12 00:00:00+00:00,2007-03-20 00:00:00+00:00,96.095,96.06,Short,6.999999999999318,87.49999999999147,target
364,365,2007-06-07 00:00:00+00:00,2007-06-08 00:00:00+00:00,95.84,95.845,Short,-0.9999999999990905,-12.499999999988631,signal_reversal
368,369,2007-06-12 00:00:00+00:00,2007-06-14 00:00:00+00:00,95.845,95.85,Short,-0.9999999999990905,-12.499999999988631,signal_reversal
370,371,2007-06-15 00:00:00+00:00,2007-06-18 00:00:00+00:00,95.845,95.845,Short,0.0,0.0,signal_reversal
437,438,2007-09-18 00:00:00+00:00,2007-09-20 00:00:00+00:00,95.375,95.345,Short,6.000000000000227,75.00000000000284,target
439,440,2007-09-21 00:00:00+00:00,2007-09-24 00:00:00+00:00,95.32,95.29,Short,5.999999999997385,74.99999999996732,stop_loss
515,516,2008-01-10 00:00:00+00:00,2008-01-11 00:00:00+00:00,95.425,95.445,Long,3.999999999999204,49.99999999999005,stop_loss
534,535,2008-02-05 00:00:00+00:00,2008-02-07 00:00:00+00:00,95.65,95.72,Long,13.999999999998636,174.99999999998295,target
536,537,2008-02-08 00:00:00+00:00,2008-02-11 00:00:00+00:00,95.715,95.675,Long,-8.00000000000125,-100.00000000001563,target
540,541,2008-02-13 00:00:00+00:00,2008-02-15 00:00:00+00:00,95.66,95.65,Long,-1.999999999998181,-24.999999999977263,signal_reversal
599,600,2008-05-08 00:00:00+00:00,2008-05-12 00:00:00+00:00,95.18,95.15,Short,6.000000000000227,75.00000000000284,target
601,602,2008-05-13 00:00:00+00:00,2008-05-14 00:00:00+00:00,95.155,95.14,Short,3.0000000000001137,37.50000000000142,stop_loss
604,605,2008-05-15 00:00:00+00:00,2008-05-19 00:00:00+00:00,95.135,95.14,Short,-0.9999999999990905,-12.499999999988631,signal_reversal
639,640,2008-06-30 00:00:00+00:00,2008-07-07 00:00:00+00:00,95.035,95.04,Short,-1.0000000000019327,-12.500000000024158,signal_reversal
656,657,2008-07-28 00:00:00+00:00,2008-07-30 00:00:00+00:00,95.025,95.04,Short,-3.0000000000001137,-37.50000000000142,stop_loss
658,659,2008-07-31 00:00:00+00:00,2008-08-01 00:00:00+00:00,95.03,95.015,Long,-3.0000000000001137,-37.50000000000142,stop_loss
660,661,2008-08-04 00:00:00+00:00,2008-08-05 00:00:00+00:00,95.02,95.02,Long,0.0,0.0,signal_reversal
662,663,2008-08-06 00:00:00+00:00,2008-08-07 00:00:00+00:00,95.025,95.035,Short,-1.999999999998181,-24.999999999977263,signal_reversal
670,671,2008-08-18 00:00:00+00:00,2008-08-19 00:00:00+00:00,95.03,95.02,Long,-2.000000000001023,-25.00000000001279,signal_reversal
672,673,2008-08-20 00:00:00+00:00,2008-08-21 00:00:00+00:00,95.025,95.03,Long,0.9999999999990905,12.499999999988631,signal_reversal
675,676,2008-08-22 00:00:00+00:00,2008-08-26 00:00:00+00:00,95.02,95.015,Long,-0.9999999999990905,-12.499999999988631,signal_reversal
681,682,2008-08-28 00:00:00+00:00,2008-09-03 00:00:00+00:00,95.025,95.02,Long,-1.0000000000019327,-12.500000000024158,signal_reversal
684,685,2008-09-04 00:00:00+00:00,2008-09-08 00:00:00+00:00,95.03,95.03,Short,0.0,0.0,signal_reversal
687,688,2008-09-10 00:00:00+00:00,2008-09-11 00:00:00+00:00,95.035,95.035,Long,0.0,0.0,signal_reversal
706,707,2008-10-07 00:00:00+00:00,2008-10-08 00:00:00+00:00,94.78,94.81,Short,-6.000000000000227,-75.00000000000284,target
709,710,2008-10-09 00:00:00+00:00,2008-10-13 00:00:00+00:00,94.72,94.695,Short,5.000000000001137,62.50000000001421,stop_loss
728,729,2008-11-06 00:00:00+00:00,2008-11-07 00:00:00+00:00,95.785,95.82,Long,6.999999999999318,87.49999999999147,target
735,736,2008-11-17 00:00:00+00:00,2008-11-18 00:00:00+00:00,95.79,96.475,Long,136.9999999999976,1712.4999999999702,target
752,753,2008-12-10 00:00:00+00:00,2008-12-11 00:00:00+00:00,96.745,96.74,Long,-1.0000000000019327,-12.500000000024158,signal_reversal
795,796,2009-02-11 00:00:00+00:00,2009-02-13 00:00:00+00:00,98.06,98.07,Long,1.999999999998181,24.999999999977263,signal_reversal
833,834,2009-04-07 00:00:00+00:00,2009-04-08 00:00:00+00:00,98.565,98.565,Long,0.0,0.0,signal_reversal
835,836,2009-04-09 00:00:00+00:00,2009-04-14 00:00:00+00:00,98.565,98.7,Long,27.000000000001023,337.5000000000128,target
842,843,2009-04-21 00:00:00+00:00,2009-04-23 00:00:00+00:00,98.615,98.635,Long,4.000000000002046,50.00000000002558,stop_loss
868,869,2009-05-27 00:00:00+00:00,2009-05-29 00:00:00+00:00,98.775,98.8,Long,4.999999999998295,62.499999999978684,stop_loss
883,884,2009-06-18 00:00:00+00:00,2009-06-19 00:00:00+00:00,98.815,98.84,Long,5.000000000001137,62.50000000001421,stop_loss
921,922,2009-08-06 00:00:00+00:00,2009-08-12 00:00:00+00:00,99.135,99.135,Long,0.0,0.0,signal_reversal
925,926,2009-08-17 00:00:00+00:00,2009-08-18 00:00:00+00:00,99.14,99.165,Long,5.000000000001137,62.50000000001421,stop_loss
973,974,2009-10-22 00:00:00+00:00,2009-10-23 00:00:00+00:00,99.255,99.25,Long,-0.9999999999990905,-12.499999999988631,signal_reversal
975,976,2009-10-26 00:00:00+00:00,2009-10-27 00:00:00+00:00,99.25,99.265,Long,3.0000000000001137,37.50000000000142,stop_loss
994,995,2009-11-17 00:00:00+00:00,2009-11-23 00:00:00+00:00,99.265,99.255,Long,-2.000000000001023,-25.00000000001279,signal_reversal
1011,1012,2009-12-15 00:00:00+00:00,2009-12-16 00:00:00+00:00,99.25,99.27,Long,3.999999999999204,49.99999999999005,stop_loss
